Entity,Code,Year,GDP (constant 2015 US$),time
Afghanistan,,,15672648238,2023
Albania,ALB,2024,15543966722,2024
Algeria,DZA,2024,222243729417,2024
Andorra,AND,2024,3362285466,2024
Angola,AGO,2024,89594220855,2024
Antigua and Barbuda,ATG,2024,1731874615,2024
Argentina,ARG,2024,578834679333,2024
Armenia,ARM,2024,16315127652,2024
Australia,AUS,2024,1665257959985,2024
Austria,AUT,2024,418190370366,2024
Azerbaijan,AZE,2024,59902281351,2024
Bahamas,BHS,2024,13630935977,2024
Bahrain,BHR,2024,41172709122,2024
Bangladesh,BGD,2024,336932927922,2024
Barbados,BRB,2024,5783409906,2024
Belarus,BLR,2024,62030020172,2024
Belgium,BEL,2024,532530656429,2024
Belize,BLZ,2024,2762085934,2024
Benin,BEN,2024,19159972710,2024
Bhutan,,,2743574974,2023
Bolivia,BOL,2024,40047688830,2024
Bosnia and Herzegovina,BIH,2024,21194295295,2024
Botswana,BWA,2024,17489977781,2024
Brazil,BRA,2024,2027676479714,2024
Brunei,BRN,2024,13699261291,2024
Bulgaria,BGR,2024,65023138713,2024
Burkina Faso,BFA,2024,17989191217,2024
Burundi,BDI,2024,3590591566,2024
Cambodia,KHM,2024,38515324291,2024
Cameroon,CMR,2024,43143796434,2024
Canada,CAN,2024,1833284621684,2024
Cape Verde,CPV,2024,2349062342,2024
Central African Rep.,CAF,2024,2079451880,2024
Chad,TCD,2024,18622140346,2024
Chile,CHL,2024,288158504434,2024
China,CHN,2024,18488114837769,2024
Colombia,COL,2024,363510345114,2024
Comoros,COM,2024,1323426672,2024
Congo,COG,2024,10636718190,2024
Costa Rica,CRI,2024,76264229553,2024
Côte d'Ivoire,CIV,2024,76346667965,2024
Croatia,HRV,2024,68707509493,2024
Cuba,,,81915873064,2023
Cyprus,CYP,2024,31017134702,2024
Czechia,CZE,2024,222480870567,2024
Dem. Rep. Congo,COD,2024,60658948871,2024
Denmark,DNK,2024,377924893185,2024
Djibouti,DJI,2024,3828825224,2024
Dominica,DMA,2024,607279298,2024
Dominican Rep.,DOM,2024,104771210812,2024
East Timor,TLS,2024,1730956215,2024
Ecuador,ECU,2024,108801876280,2024
Egypt,EGY,2024,482189779212,2024
El Salvador,SLV,2024,29062047321,2024
Equatorial Guinea,GNQ,2024,9541952850,2024
Eritrea,,,,2024
Estonia,EST,2024,27502872345,2024
Eswatini,SWZ,2024,4763200252,2024
Ethiopia,ETH,2024,121005590210,2024
Fiji,FJI,2024,5504662278,2024
Finland,FIN,2024,252859096867,2024
France,FRA,2024,2702385011317,2024
Gabon,GAB,2024,16804782297,2024
Gambia,GMB,2024,2076438382,2024
Georgia,GEO,2024,25129167228,2024
Germany,DEU,2024,3683559545240,2024
Ghana,GHA,2024,74695964607,2024
Greece,GRC,2024,224962760462,2024
Greenland,,,2839256686,2023
Grenada,GRD,2024,1193683309,2024
Guatemala,GTM,2024,83989978802,2024
Guinea,GIN,2024,15479007958,2024
Guinea-Bissau,GNB,2024,1730725640,2024
Guyana,GUY,2024,27369534584,2024
